Sample Index, EXG Channel 0
4105,-3365.0
4113,-3480.0
4125,-3707.0
4134,-3296.0
4146,-3437.0
4154,-3984.0
4166,-3145.0
4175,-3686.0
4187,-3593.0
4195,-3360.0
4203,-3751.0
4216,-3142.0
4224,-3691.0
4236,-3522.0
4244,-3559.0
4256,-3674.0
4265,-3983.0
4273,-3630.0
4286,-3247.0
4293,-3298.0
4306,-4077.0
4314,-3450.0
4326,-3865.0
4334,-3698.0
4347,-3427.0
4355,-4434.0
4363,-3737.0
4375,-4034.0
4384,-3917.0
4396,-3436.0
4404,-3827.0
4416,-4146.0
4424,-3949.0
4436,-3858.0
4445,-3779.0
4453,-4236.0
4465,-3869.0
4474,-4038.0
4486,-4139.0
4494,-3672.0
4506,-4197.0
4514,-3912.0
4526,-4169.0
4535,-4196.0
4543,-3975.0
4555,-4486.0
4564,-4579.0
4576,-4286.0
4584,-4587.0
4596,-4324.0
4604,-4705.0
4617,-4726.0
4625,-4513.0
4637,-4470.0
4645,-4293.0
4657,-4818.0
4666,-4693.0
4674,-4692.0
4686,-4921.0
4695,-5058.0
4708,-5111.0
4716,-4900.0
4727,-4855.0
4735,-4698.0
4743,-4425.0
4756,-4940.0
4764,-4737.0
4777,-5046.0
4785,-5117.0
4797,-4878.0
4805,-5295.0
4818,-5232.0
4826,-5515.0
4834,-5254.0
4846,-5205.0
4855,-5474.0
4867,-5093.0
4875,-5354.0
4887,-5263.0
4895,-5106.0
4907,-5409.0
4916,-5094.0
4924,-5387.0
4937,-5308.0
4945,-5091.0
4957,-5370.0
4965,-5255.0
4978,-4944.0
4986,-5645.0
4998,-5282.0
5006,-5311.0
5014,-5116.0
5027,-5287.0
5035,-5250.0
5047,-5109.0
5056,-5214.0
5068,-5269.0
5076,-4774.0
5088,-5285.0
5097,-5194.0
5105,-5571.0
5117,-5406.0
5125,-5023.0
5137,-5292.0
5146,-4909.0
5158,-5572.0
5166,-5361.0
5174,-5102.0
5187,-5299.0
5195,-5160.0
5207,-5569.0
5215,-5322.0
5228,-5351.0
5236,-5418.0
5248,-5211.0
5256,-5638.0
5268,-5479.0
5277,-5146.0
5289,-5431.0
5297,-5464.0
5305,-5919.0
5318,-5678.0
5326,-5321.0
5338,-5758.0
5346,-5193.0
5358,-5784.0
5367,-5493.0
5379,-5310.0
5387,-5653.0
5395,-5774.0
5408,-5911.0
5416,-5912.0
5428,-5699.0
5436,-6150.0
5448,-5477.0
5457,-6218.0
5469,-6069.0
5477,-6356.0
5485,-6349.0
5498,-6328.0
5506,-6251.0
5518,-5864.0
5526,-6059.0
5539,-6482.0
5547,-6193.0
5555,-6666.0
5567,-6277.0
5576,-6148.0
5588,-6611.0
5596,-6656.0
5608,-6315.0
5616,-6140.0
5629,-6345.0
5637,-6616.0
5645,-6271.0
5657,-6904.0
5666,-6643.0
5678,-6342.0
5686,-6393.0
5698,-6362.0
5707,-6367.0
5719,-6660.0
5727,-6355.0
5735,-6524.0
5747,-6209.0
5756,-6418.0
5768,-6389.0
5776,-6268.0
5788,-6117.0
5797,-6258.0
5809,-6425.0
5817,-6164.0
5825,-6019.0
5838,-6778.0
5846,-6473.0
5858,-6688.0
5866,-6447.0
5878,-6210.0
5887,-6463.0
5899,-6402.0
5907,-7117.0
5915,-6812.0
5928,-6047.0
5936,-6774.0
5948,-6983.0
5956,-7044.0
5969,-6475.0
5977,-6276.0
5989,-7155.0
5997,-6390.0
6009,-6407.0
6018,-6592.0
6026,-6399.0
6038,-6432.0
6046,-6177.0
6059,-6666.0
6067,-6605.0
6079,-6914.0
6087,-6529.0
6100,-6606.0
6108,-6751.0
6116,-6538.0
6128,-6419.0
6137,-6776.0
6149,-6373.0
6157,-6784.0
6169,-6679.0
6177,-6624.0
6190,-6995.0
6198,-6284.0
6206,-6843.0
6218,-6430.0
6227,-6427.0
6239,-6856.0
6247,-6407.0
6259,-6856.0
6268,-6411.0
6280,-6240.0
6288,-6655.0
6296,-6316.0
6309,-6355.0
6317,-6416.0
6329,-5985.0
6337,-6642.0
6350,-6499.0
6358,-6364.0
6370,-6149.0
6378,-6002.0
6387,-6407.0
6399,-6246.0
6407,-6349.0
6419,-6644.0
6427,-5923.0
6440,-6312.0
6448,-6245.0
6456,-6016.0
6468,-5993.0
6476,-5872.0
6489,-6331.0
6497,-5956.0
6509,-6169.0
6518,-6080.0
6529,-6065.0
6537,-6462.0
6546,-6287.0
6558,-6240.0
6566,-6183.0
6578,-5652.0
6587,-6499.0
6599,-5708.0
6607,-6141.0
6619,-6042.0
6628,-6117.0
6637,-6008.0
6649,-5817.0
6661,-6280.0
6669,-6061.0
6678,-5748.0
6690,-6417.0
6698,-6242.0
6710,-6311.0
6719,-5968.0
6731,-5593.0
6739,-6460.0
6751,-5737.0
6759,-6118.0
6767,-6211.0
6780,-5630.0
6788,-6259.0
6800,-5998.0
6809,-6135.0
6821,-5978.0
6829,-5669.0
6837,-5712.0
6850,-5481.0
6857,-5436.0
6870,-5675.0
6878,-5418.0
6890,-6007.0
6898,-5664.0
6910,-5617.0
6919,-5590.0
6928,-5651.0
6940,-5846.0
6948,-5697.0
6960,-5708.0
6968,-5719.0
6980,-5184.0
6989,-5427.0
7001,-5484.0
7009,-5409.0
7017,-5612.0
7030,-5083.0
7038,-5714.0
7050,-5417.0
7058,-5320.0
7070,-5269.0
7079,-5010.0
7091,-5621.0
7099,-5074.0
7108,-5265.0
7120,-5106.0
7128,-5199.0
7140,-5274.0
7148,-4679.0
7161,-5196.0
7168,-5329.0
7181,-4984.0
7189,-5651.0
7197,-5086.0
7209,-5485.0
7217,-5226.0
7230,-5073.0
7238,-5254.0
7250,-5225.0
7258,-5220.0
7267,-4983.0
7279,-4840.0
7287,-5089.0
7299,-4808.0
7308,-4891.0
7320,-4794.0
7328,-5205.0
7341,-5618.0
7349,-5001.0
7361,-5098.0
7370,-5037.0
7382,-4750.0
7390,-5403.0
7398,-4620.0
7411,-4933.0
7419,-4854.0
7431,-4811.0
7439,-5320.0
7451,-4499.0
7459,-4630.0
7471,-4783.0
7479,-4522.0
7488,-4845.0
7500,-4556.0
7508,-4689.0
7520,-4908.0
7529,-4469.0
7542,-5234.0
7550,-4803.0
7562,-4592.0
7571,-4709.0
7578,-4420.0
7591,-4701.0
7599,-4624.0
7611,-4613.0
7619,-4900.0
7632,-4639.0
7640,-4866.0
7652,-4745.0
7660,-4604.0
7669,-4935.0
7681,-4918.0
7689,-4999.0
7701,-4672.0
7710,-4759.0
7722,-4932.0
7730,-4695.0
7738,-5084.0
7750,-5175.0
7759,-4894.0
7771,-4517.0
7779,-5054.0
7791,-5099.0
7800,-4756.0
7812,-4723.0
7820,-5230.0
7828,-5223.0
7840,-4992.0
7849,-4803.0
7861,-5090.0
7869,-5297.0
7881,-4948.0
7890,-5143.0
7902,-4980.0
7910,-5227.0
7918,-5114.0
7930,-4871.0
7939,-5682.0
7951,-5243.0
7959,-5546.0
7971,-5153.0
7980,-5068.0
7992,-5613.0
8000,-5012.0
8012,-5601.0
8020,-5534.0
8033,-5129.0
8041,-5948.0
8049,-5333.0
8062,-4938.0
8070,-5565.0
8082,-5038.0
8090,-5359.0
8103,-5226.0
8111,-4967.0
8119,-5450.0
8131,-4951.0
8140,-5644.0
8152,-5347.0
8160,-5002.0
8172,-5269.0
8180,-5322.0
8193,-5273.0
8201,-5238.0
8209,-5387.0
8221,-5664.0
8230,-4925.0
8242,-5546.0
8250,-5483.0
8262,-5024.0
8270,-5471.0
8282,-5112.0
8290,-5689.0
8299,-5568.0
8311,-5307.0
8319,-5418.0
8332,-5369.0
8340,-5448.0
8352,-5479.0
8361,-5312.0
8373,-6041.0
8381,-5562.0
8390,-6089.0
8402,-5588.0
8409,-5567.0
8465,-6044.0
8465,-5397.0
8466,-6090.0
8466,-5769.0
8467,-5410.0
8471,-6155.0
8479,-5354.0
8492,-6065.0
8499,-5942.0
8511,-5867.0
8520,-5978.0
8533,-5475.0
8541,-6222.0
8549,-5409.0
8562,-5484.0
8570,-5837.0
8582,-5350.0
8590,-5641.0
8602,-5582.0
8611,-5429.0
8623,-5388.0
8631,-5383.0
8639,-5660.0
8652,-5655.0
8664,-5042.0
8672,-5379.0
8680,-5480.0
8693,-5977.0
8701,-5356.0
8713,-5461.0
8721,-5990.0
8733,-5699.0
8742,-5902.0
8754,-5743.0
8762,-5592.0
8770,-6147.0
8783,-5596.0
8791,-5655.0
8803,-5830.0
8811,-5703.0
8824,-5792.0
8831,-5821.0
8843,-5874.0
8852,-5647.0
8861,-5732.0
8873,-6107.0
8881,-5862.0
8893,-6503.0
8901,-5904.0
8914,-5529.0
8922,-6178.0
8933,-5839.0
8942,-6038.0
8951,-5865.0
8963,-5822.0
8971,-5773.0
8983,-5908.0
8992,-6137.0
9004,-5834.0
9012,-5629.0
9020,-6312.0
9032,-5861.0
9040,-6026.0
9053,-5975.0
9061,-5640.0
9073,-6135.0
9081,-6136.0
9093,-6239.0
9101,-6486.0
9110,-5969.0
9122,-5766.0
9131,-6007.0
9143,-6376.0
9151,-5987.0
9163,-5986.0
9172,-6513.0
9184,-5970.0
9192,-6531.0
9200,-5924.0
9212,-6081.0
9221,-6628.0
9233,-6511.0
9241,-6440.0
9253,-6301.0
9261,-6138.0
9274,-6345.0
9282,-6326.0
9290,-6377.0
9302,-6332.0
9310,-6107.0
9323,-6570.0
9331,-5903.0
9344,-6216.0
9352,-5931.0
9364,-6458.0
9372,-6185.0
9384,-5840.0
9393,-6271.0
9401,-6512.0
9413,-6083.0
9421,-6856.0
9434,-7027.0
9442,-7078.0
9454,-6943.0
9462,-6896.0
9475,-7009.0
9483,-6992.0
9491,-7075.0
9503,-6824.0
9511,-6475.0
9524,-7086.0
9532,-6839.0
9544,-7054.0
9552,-6835.0
9564,-6888.0
9573,-7083.0
9581,-6952.0
9593,-7075.0
9601,-6788.0
9614,-6867.0
9622,-7332.0
9634,-6931.0
9643,-7450.0
9655,-7065.0
9663,-6674.0
9671,-6879.0
9684,-6934.0
9692,-7295.0
9704,-6760.0
9712,-6657.0
9724,-6958.0
9732,-7089.0
9744,-7190.0
9753,-6891.0
9761,-6634.0
9774,-7229.0
9782,-6618.0
9794,-7177.0
9802,-6892.0
9814,-6709.0
9823,-7074.0
9831,-6957.0
9844,-7270.0
9852,-7069.0
9864,-6514.0
9872,-7153.0
9884,-6904.0
9892,-6703.0
9905,-6992.0
9913,-6741.0
9921,-7270.0
9933,-7177.0
9942,-6804.0
9954,-7179.0
9962,-6784.0
9974,-7221.0
9983,-6472.0
9994,-6793.0
10003,-7044.0
10011,-6755.0
10023,-6824.0
10031,-6759.0
10044,-7020.0
10052,-6967.0
10064,-6604.0
10072,-6917.0
10085,-6478.0
10093,-6523.0
10105,-6778.0
10113,-6477.0
10125,-7114.0
10134,-6633.0
10142,-6886.0
10155,-6883.0
10163,-6984.0
10175,-6915.0
10183,-6860.0
10195,-7143.0
10203,-7002.0
10216,-6733.0
10224,-7204.0
10232,-6747.0
10245,-7296.0
10253,-6987.0
10265,-6970.0
10273,-6851.0
10285,-6378.0
10294,-6875.0
10302,-6486.0
10314,-6819.0
10322,-7324.0
10334,-6913.0
10343,-7182.0
10355,-7079.0
10363,-6950.0
10376,-7627.0
10384,-6926.0
10392,-6933.0
10404,-6584.0
10412,-6745.0
10425,-7642.0
10433,-7063.0
10446,-6954.0
10454,-7305.0
10465,-7090.0
10474,-6879.0
10482,-7168.0
10494,-6383.0
10502,-6844.0
10515,-6943.0
10523,-7496.0
10536,-6745.0
10544,-7194.0
10556,-7053.0
10564,-6688.0
10572,-7429.0
10584,-6932.0
10592,-6873.0
10605,-7200.0
10613,-6695.0
10625,-7200.0
10633,-6877.0
10642,-7004.0
10654,-7395.0
10662,-6900.0
10675,-6917.0
10683,-7038.0
10695,-6917.0
10703,-7046.0
10716,-6823.0
10724,-6952.0
10736,-7209.0
10744,-6720.0
10800,-7387.0
10800,-6968.0
10800,-7197.0
10800,-6834.0
10801,-6707.0
10806,-7094.0
10814,-6349.0
10826,-7048.0
10834,-6727.0
10846,-7038.0
10855,-7091.0
10863,-7116.0
10875,-7185.0
10884,-6730.0
10896,-6601.0
10904,-6948.0
10916,-6941.0
10924,-6874.0
10936,-7097.0
10945,-7094.0
